"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PDIA4",5.64252689988164e-177,0.766304886276492,0.529,0.154,9.33161098702425e-173,"2","PDIA4"
"TNFRSF18",8.55105183796522e-176,0.618204400912298,0.3,0.042,1.41417295296269e-171,"2","TNFRSF18"
"HSPA5",2.13289386269858e-173,1.01048444066113,0.683,0.273,3.52737987013092e-169,"2","HSPA5"
"SLAMF7",1.04106804553928e-171,0.380981222967381,0.299,0.042,1.72171833371285e-167,"2","SLAMF7"
"CD8A",2.11424731993686e-170,0.508141803490153,0.261,0.03,3.49654221771158e-166,"2","CD8A"
"SPCS2",1.79275702340024e-169,0.809994601711896,0.85,0.517,2.96486156529932e-165,"2","SPCS2"
"RP11-16E12.2",2.03630781244897e-169,0.49943384869543,0.295,0.043,3.36764586022811e-165,"2","RP11-16E12.2"
"MIR4435-2HG",8.97891798447801e-168,0.485308727246485,0.29,0.041,1.48493345627297e-163,"2","MIR4435-2HG"
"DNAJB9",1.89889263590088e-167,0.658990405675902,0.508,0.15,3.14038864125287e-163,"2","DNAJB9"
"RPN2",3.59130318406417e-166,0.772404390820064,0.632,0.253,5.93929720580533e-162,"2","RPN2"
"AAK1",6.20593603818471e-164,0.347473674402769,0.259,0.031,1.02633770199499e-159,"2","AAK1"
"ANKRD28",1.07486494410555e-160,0.533614018054796,0.364,0.074,1.77761164456176e-156,"2","ANKRD28"
"CRELD2",8.46134949897676e-154,0.637234519931269,0.493,0.148,1.39933798014078e-149,"2","CRELD2"
"CCL5",4.40142480834996e-153,1.69986378316222,0.504,0.179,7.27907634804917e-149,"2","CCL5"
"SEC61G",1.7845932769979e-148,0.864315228612676,0.781,0.435,2.95136036149912e-144,"2","SEC61G"
"CD247",6.43607733926312e-147,0.378442580795396,0.279,0.045,1.06439847036733e-142,"2","CD247"
"KDELR2",1.75277397023617e-146,0.650249380010625,0.572,0.214,2.89873759197659e-142,"2","KDELR2"
"ALG5",5.97299608244938e-146,0.460474310950065,0.437,0.12,9.87814092115478e-142,"2","ALG5"
"IFI6",6.00365572067098e-145,1.01648870025453,0.574,0.218,9.92884583084566e-141,"2","IFI6"
"SEC61A1",7.442583191813e-143,0.415388530995317,0.364,0.083,1.23085440826203e-138,"2","SEC61A1"
"TMEM59",1.1753924599915e-142,0.687972326096247,0.787,0.449,1.94386405033394e-138,"2","TMEM59"
"TMED10",3.50650966229561e-142,0.628424330602614,0.631,0.271,5.79906567950448e-138,"2","TMED10"
"H1FX",3.92185212503605e-139,0.742707441909842,0.448,0.133,6.48595904438463e-135,"2","H1FX"
"DNAJC1",9.33423744644832e-139,0.437946029294205,0.392,0.1,1.54369618889362e-134,"2","DNAJC1"
"CCL4",6.7930636067678e-138,1.44218066130319,0.507,0.187,1.12343685928726e-133,"2","CCL4"
"TXNDC11",2.92566274372078e-136,0.508571431001733,0.385,0.1,4.83846104556543e-132,"2","TXNDC11"
"P4HB",4.9975648828696e-134,0.709955008706269,0.639,0.29,8.26497280328974e-130,"2","P4HB"
"CCND2",1.36060302023691e-133,0.593557463512847,0.342,0.08,2.25016527486779e-129,"2","CCND2"
"CITED2",1.82424636173722e-133,0.966990203720039,0.443,0.141,3.01693863304102e-129,"2","CITED2"
"NANS",7.59922495347021e-133,0.444679526611275,0.383,0.099,1.2567598228049e-128,"2","NANS"
"IGKC",3.31317942511403e-132,3.45807731348264,0.962,0.931,5.47933613325358e-128,"2","IGKC"
"PPIB",1.38956504861101e-130,0.880875110983178,0.764,0.418,2.29806267739288e-126,"2","PPIB"
"SIL1",6.30641886518276e-130,0.36764132097638,0.325,0.071,1.04295555192393e-125,"2","SIL1"
"CXCL13",7.27269837716263e-129,1.17212464750525,0.271,0.05,1.20275885761516e-124,"2","CXCL13"
"LGALS1",1.54025218597192e-128,1.12866585522297,0.657,0.313,2.54726906516037e-124,"2","LGALS1"
"SEC14L1",2.21125079928591e-128,0.378105322401988,0.336,0.078,3.65696657185904e-124,"2","SEC14L1"
"TNFRSF4",4.08337241394614e-128,0.704646751204924,0.289,0.058,6.75308129818412e-124,"2","TNFRSF4"
"HLA-C",4.59638893229754e-128,0.844890395315782,0.992,0.991,7.60150801623368e-124,"2","HLA-C"
"MT2A",2.52227846409447e-127,1.009029656772,0.486,0.173,4.17134412391944e-123,"2","MT2A"
"KRTCAP2",8.44430038442251e-125,0.555854849446988,0.699,0.342,1.3965183975758e-120,"2","KRTCAP2"
"PECAM1",4.8300302641832e-122,0.326803050201146,0.259,0.047,7.98790405090618e-118,"2","PECAM1"
"TMEM258",9.21123215993685e-122,0.715996975850475,0.818,0.524,1.52335357461036e-117,"2","TMEM258"
"TECR",1.62032509939779e-120,0.499426105259469,0.529,0.207,2.67969364938407e-116,"2","TECR"
"PDIA6",4.00195442659145e-120,0.755410578905561,0.693,0.365,6.61843223069694e-116,"2","PDIA6"
"SPCS1",6.12242875457512e-120,0.65044911759667,0.821,0.514,1.01252726743163e-115,"2","SPCS1"
"PHPT1",3.28124710571011e-119,0.505537238564533,0.514,0.195,5.42652646342337e-115,"2","PHPT1"
"CTSD",3.97488360911772e-118,0.455842986280682,0.494,0.177,6.57366251275888e-114,"2","CTSD"
"GZMK",4.97126309199008e-118,0.630689158447476,0.258,0.049,8.22147490153319e-114,"2","GZMK"
"NEAT1",6.80993094275631e-118,1.06655807112415,0.716,0.43,1.12622637931304e-113,"2","NEAT1"
"PIM1",7.53707943443642e-118,0.3971434903192,0.31,0.073,1.2464821968671e-113,"2","PIM1"
"RPN1",1.35856675583031e-117,0.435255564632003,0.406,0.123,2.24679770079216e-113,"2","RPN1"
"B2M",6.97359868997073e-117,0.658305064806533,1,1,1.15329375134736e-112,"2","B2M"
"RGS1",3.83408468138577e-116,0.971506771723196,0.72,0.402,6.34080924607579e-112,"2","RGS1"
"SELM",5.09853013376059e-116,0.550451643017984,0.496,0.191,8.43194913521326e-112,"2","SELM"
"RPS27L",2.23642672837704e-115,0.619687383781499,0.723,0.396,3.69860252338995e-111,"2","RPS27L"
"LMAN2",5.24365876305599e-115,0.608201115822645,0.606,0.285,8.67196286234199e-111,"2","LMAN2"
"JCHAIN",2.31604549205115e-114,0.669941047870424,0.648,0.343,3.83027603475419e-110,"2","JCHAIN"
"SRPRB",1.84409990232739e-113,0.379083256569772,0.347,0.094,3.04977241846903e-109,"2","SRPRB"
"SEL1L",1.32301997718214e-112,0.348539697610757,0.285,0.064,2.18801043826382e-108,"2","SEL1L"
"IFNAR2",3.49421204325033e-111,0.376602877308555,0.34,0.092,5.7787278771274e-107,"2","IFNAR2"
"TMED2",2.76502814121818e-110,0.563542248044762,0.666,0.341,4.57280353994663e-106,"2","TMED2"
"MT1X",1.3310768187837e-109,0.37651087729835,0.267,0.057,2.20133484290449e-105,"2","MT1X"
"TRAM1",2.74349021565579e-109,0.519229933117616,0.591,0.274,4.53718411865154e-105,"2","TRAM1"
"HIST1H1C",1.21079413518781e-108,0.756435901766324,0.427,0.15,2.0024113407736e-104,"2","HIST1H1C"
"KDELR1",2.67100504531567e-108,0.438949881343865,0.46,0.169,4.41730814394305e-104,"2","KDELR1"
"CCL4L2",6.48417636636039e-108,1.23295492816748,0.357,0.107,1.07235308746868e-103,"2","CCL4L2"
"PLD3",7.33938949628909e-108,0.337870307261422,0.328,0.087,1.21378823489629e-103,"2","PLD3"
"GSTP1",4.46485018981307e-107,0.827097592948054,0.675,0.361,7.38396924391285e-103,"2","GSTP1"
"LGALS3",7.29449135562495e-107,0.384327888329158,0.302,0.074,1.20636298039325e-102,"2","LGALS3"
"PDXK",1.70647483456659e-106,0.3108721493709,0.262,0.056,2.82216808140623e-102,"2","PDXK"
"TNFAIP3",1.40993889104178e-105,0.445486014684089,0.297,0.075,2.33175693800489e-101,"2","TNFAIP3"
"BTG2",1.80706864500774e-104,0.827703055313894,0.628,0.331,2.9885301251138e-100,"2","BTG2"
"DSTN",3.26871989229611e-104,0.367922792144248,0.358,0.105,5.40580895787931e-100,"2","DSTN"
"ARF4",8.57610331638071e-104,0.474851218213667,0.474,0.185,1.41831596646304e-99,"2","ARF4"
"TNFRSF17",1.26402348659194e-103,0.50024169720461,0.367,0.111,2.09044204212575e-99,"2","TNFRSF17"
"CCDC167",8.25470604337136e-103,0.471916256124525,0.407,0.137,1.36516328545276e-98,"2","CCDC167"
"SURF4",3.09531554173472e-102,0.349296299802453,0.336,0.096,5.11903284292088e-98,"2","SURF4"
"TMED9",1.27482388089591e-101,0.56713627468878,0.643,0.336,2.10830373422565e-97,"2","TMED9"
"RGCC",1.38508574609954e-98,0.429788998633033,0.307,0.083,2.29065480689942e-94,"2","RGCC"
"ITM2A",2.02700491087297e-97,0.436933819796299,0.339,0.103,3.35226072160172e-93,"2","ITM2A"
"FYN",7.31622469414688e-97,0.35896663733688,0.261,0.062,1.20995723991801e-92,"2","FYN"
"FAM46C",3.99655363028433e-96,0.413603112018066,0.434,0.159,6.60950039376423e-92,"2","FAM46C"
"CISD2",2.66945103589709e-95,0.368204246065722,0.382,0.128,4.4147381231666e-91,"2","CISD2"
"HCST",4.23739690433151e-95,0.659212011803054,0.556,0.271,7.00780700038346e-91,"2","HCST"
"ARSA",4.56848949211166e-94,0.283935329168118,0.256,0.06,7.55536792205426e-90,"2","ARSA"
"CCL3",6.18041643285308e-94,0.913494284737847,0.391,0.142,1.02211726966524e-89,"2","CCL3"
"S100A4",6.18106037378254e-94,1.06631056054876,0.721,0.445,1.02222376461616e-89,"2","S100A4"
"SLC35B1",8.7045242134234e-94,0.319930412397218,0.283,0.073,1.43955421441596e-89,"2","SLC35B1"
"PRDX2",9.7853113827415e-94,0.434090178227,0.442,0.172,1.61829479647779e-89,"2","PRDX2"
"IDH2",1.3627310787589e-92,0.497065649007195,0.476,0.201,2.25368465805147e-88,"2","IDH2"
"CKLF",3.50409450145867e-92,0.516371121816211,0.504,0.225,5.79507148651234e-88,"2","CKLF"
"ERGIC3",1.02700194754712e-90,0.44112556658654,0.572,0.276,1.69845582085343e-86,"2","ERGIC3"
"SOCS3",4.55249915878935e-90,0.506599990213501,0.353,0.117,7.52892310880583e-86,"2","SOCS3"
"C10orf54",3.90390198242341e-89,0.366796474639933,0.392,0.139,6.45627309853184e-85,"2","C10orf54"
"TXN",1.00923320578547e-88,0.622183637919094,0.528,0.246,1.66906987572801e-84,"2","TXN"
"TRAC",1.52915160977583e-88,1.01964474352178,0.568,0.316,2.52891093224727e-84,"2","TRAC"
"TPST2",4.81502439475762e-87,0.356709267764588,0.33,0.106,7.96308734405016e-83,"2","TPST2"
"TMEM208",7.9896355540285e-87,0.374925897906379,0.404,0.151,1.32132592792523e-82,"2","TMEM208"
"ZBP1",1.92627572325077e-86,0.368923949294932,0.335,0.108,3.18567479111212e-82,"2","ZBP1"
"SUB1",2.96194893139159e-86,0.77395277161735,0.842,0.634,4.89847114273541e-82,"2","SUB1"
"CTSC",3.51406816344489e-86,0.445590798067216,0.376,0.137,5.81156592870515e-82,"2","CTSC"
"GMPPB",8.84844391772359e-86,0.313748778263166,0.268,0.071,1.46335565511313e-81,"2","GMPPB"
"KLF13",7.63537470801846e-85,0.363491044188056,0.367,0.129,1.26273826921209e-80,"2","KLF13"
"DERL1",7.78609154036759e-85,0.405240155985621,0.444,0.183,1.28766381894599e-80,"2","DERL1"
"SAR1B",1.94540960598167e-84,0.295605802005194,0.279,0.078,3.21731840637249e-80,"2","SAR1B"
"DNAJB11",2.93813561875145e-84,0.462754904101718,0.428,0.174,4.85908868629116e-80,"2","DNAJB11"
"GLRX",6.93509841420538e-84,0.474635513917571,0.495,0.223,1.14692657574129e-79,"2","GLRX"
"MLEC",2.82938702778691e-83,0.330701763793729,0.311,0.097,4.679240266554e-79,"2","MLEC"
"DNAJC3",9.67841406363363e-82,0.330885046618195,0.307,0.096,1.60061611784373e-77,"2","DNAJC3"
"MEI1",1.06065109763426e-81,0.291383402011353,0.284,0.082,1.75410478526754e-77,"2","MEI1"
"OSTC",1.14286466395458e-80,0.476030128945158,0.525,0.255,1.89006958124808e-76,"2","OSTC"
"MCL1",1.72530219580624e-80,0.454742384862105,0.56,0.277,2.85330477142436e-76,"2","MCL1"
"UQCRQ",1.45735682715364e-79,0.586373487145539,0.701,0.44,2.41017672074669e-75,"2","UQCRQ"
"TIMP1",2.5330427256956e-79,0.568269326496923,0.402,0.165,4.18914605975538e-75,"2","TIMP1"
"BSG",3.83052945011752e-79,0.433302597766154,0.579,0.3,6.33492960460436e-75,"2","BSG"
"POLR2L",1.89253702055387e-78,0.509172033931777,0.675,0.391,3.12987772459199e-74,"2","POLR2L"
"GUK1",6.96992600122137e-78,0.469997140389737,0.685,0.41,1.15268636208199e-73,"2","GUK1"
"S100A11",1.84303836771071e-77,0.511161792174732,0.559,0.286,3.04801685251997e-73,"2","S100A11"
"CNPY2",7.17263508600441e-77,0.399907842662857,0.494,0.232,1.18621039052341e-72,"2","CNPY2"
"CHID1",1.12650260451562e-76,0.275770587619032,0.265,0.076,1.86301000734793e-72,"2","CHID1"
"CST3",1.53357511062443e-75,0.574197959609212,0.284,0.09,2.53622651795068e-71,"2","CST3"
"VKORC1",1.41155510102477e-74,0.3061036580034,0.325,0.113,2.33442982607476e-70,"2","VKORC1"
"CCPG1",3.38360029856943e-74,0.265753541759088,0.265,0.078,5.59579817377412e-70,"2","CCPG1"
"SPATS2",2.03184920799693e-73,0.279377902036633,0.289,0.092,3.36027222018532e-69,"2","SPATS2"
"CYBA",3.86730616129231e-73,0.533377649147209,0.984,0.973,6.39575092954522e-69,"2","CYBA"
"MGAT1",1.56150917258701e-72,0.319181551697121,0.364,0.14,2.5824238696244e-68,"2","MGAT1"
"SRM",3.31064195055082e-70,0.506340280638688,0.379,0.158,5.47513965782095e-66,"2","SRM"
"LRPAP1",2.03073958070856e-68,0.371648306343022,0.444,0.206,3.35843711857581e-64,"2","LRPAP1"
"S100A6",2.28993166113354e-68,0.612776573821589,0.729,0.49,3.78708898118264e-64,"2","S100A6"
"PSAP",2.80915455619478e-68,0.489640756201689,0.65,0.406,4.64577980503492e-64,"2","PSAP"
"GUSB",2.55124363111503e-67,0.251213347997051,0.261,0.081,4.21924671713804e-63,"2","GUSB"
"ACADVL",4.72624005300144e-67,0.34606520164697,0.379,0.158,7.81625579965378e-63,"2","ACADVL"
"HDLBP",7.08333776414979e-67,0.266991618091849,0.257,0.08,1.17144239943509e-62,"2","HDLBP"
"LEPROTL1",1.04790800888919e-66,0.336354759481648,0.357,0.144,1.73303026510094e-62,"2","LEPROTL1"
"SDF4",2.43805177102114e-64,0.308850239913269,0.363,0.15,4.03205001891476e-60,"2","SDF4"
"DAD1",7.29406603449841e-64,0.422885744674071,0.717,0.467,1.20629264078535e-59,"2","DAD1"
"TYROBP",1.18397990262552e-63,0.474130086224378,0.261,0.086,1.95806596296208e-59,"2","TYROBP"
"CFLAR",1.53032095242732e-63,0.358654613494729,0.464,0.225,2.5308447911243e-59,"2","CFLAR"
"C4orf48",2.14602137865607e-63,0.331914746345255,0.387,0.168,3.54909015602141e-59,"2","C4orf48"
"SLC9A3R1",2.83697599587438e-63,0.2721820896884,0.253,0.082,4.69179090197705e-59,"2","SLC9A3R1"
"SLC3A2",4.53222602641596e-63,0.376805878797726,0.406,0.181,7.49539540248672e-59,"2","SLC3A2"
"NDUFS8",1.20556472785987e-62,0.333916726510961,0.428,0.2,1.99376294693466e-58,"2","NDUFS8"
"NDUFC2",2.00776856891315e-62,0.386537341431883,0.55,0.306,3.32044765926856e-58,"2","NDUFC2"
"LCK",5.84986996945871e-62,0.415886486390311,0.417,0.2,9.67451495549081e-58,"2","LCK"
"NDUFB10",1.06508061971213e-61,0.374384570105559,0.549,0.302,1.76143032887993e-57,"2","NDUFB10"
"LY96",2.92757025255987e-61,0.311566551679602,0.392,0.172,4.84161568368351e-57,"2","LY96"
"ADI1",5.14112155651707e-61,0.259987489766207,0.288,0.103,8.50238683016793e-57,"2","ADI1"
"RAB1A",1.06232985711896e-59,0.267922194663918,0.329,0.131,1.75688111770333e-55,"2","RAB1A"
"EMC7",1.57423647263887e-59,0.289271278783113,0.358,0.151,2.60347227845016e-55,"2","EMC7"
"FTL",4.09808490510045e-59,0.799507748121348,0.99,0.98,6.77741281605512e-55,"2","FTL"
"ATOX1",1.39900335727609e-58,0.317292396692024,0.354,0.151,2.3136717522632e-54,"2","ATOX1"
"PTTG1",4.69831902224936e-58,0.387682197076594,0.257,0.091,7.77007999899599e-54,"2","PTTG1"
"SPOCK2",5.17444652591139e-58,0.420407522666367,0.286,0.111,8.55749966455225e-54,"2","SPOCK2"
"COPE",1.19577459083331e-56,0.475716742988378,0.676,0.462,1.97757201832013e-52,"2","COPE"
"RARRES3",1.24041545666647e-56,0.376840880444183,0.358,0.162,2.05139908223501e-52,"2","RARRES3"
"SSR1",1.30451747570335e-56,0.350870969737774,0.409,0.196,2.15741100131821e-52,"2","SSR1"
"NDUFA6",3.26516570695545e-56,0.365076979357133,0.428,0.213,5.39993104616292e-52,"2","NDUFA6"
"ATF4",5.24768341612426e-56,0.37660804004296,0.583,0.342,8.67861883358631e-52,"2","ATF4"
"NDUFB7",3.15485708398125e-55,0.3920578752309,0.543,0.316,5.21750264548819e-51,"2","NDUFB7"
"HLA-B",5.0673243658639e-55,0.545404246048056,0.997,0.999,8.38034103626571e-51,"2","HLA-B"
"MORF4L2",5.73701400581961e-55,0.274998057762539,0.321,0.133,9.48787376282447e-51,"2","MORF4L2"
"CUTA",3.45566092499747e-54,0.400971030595904,0.679,0.454,5.71497203776082e-50,"2","CUTA"
"ANAPC11",7.76242920158252e-54,0.380660305772762,0.487,0.269,1.28375054135772e-49,"2","ANAPC11"
"IGLC3",1.1286302386816e-53,3.10710857655543,0.722,0.553,1.86652868873163e-49,"2","IGLC3"
"DDOST",1.66318350504906e-53,0.371575221986238,0.428,0.217,2.75057288065013e-49,"2","DDOST"
"NME1",1.99710408201167e-53,0.372552285423808,0.343,0.15,3.3028107308309e-49,"2","NME1"
"H2AFZ",5.99324539088374e-53,0.748089129716472,0.615,0.398,9.91162922744353e-49,"2","H2AFZ"
"ANXA2",4.88984449482278e-52,0.421023426672063,0.436,0.225,8.08682482553792e-48,"2","ANXA2"
"TMBIM6",4.94757219844255e-52,0.417924507047848,0.805,0.618,8.18229490178429e-48,"2","TMBIM6"
"MRPL41",7.08357404922344e-52,0.305496016903591,0.39,0.187,1.17148147626057e-47,"2","MRPL41"
"LYZ",9.27703581343759e-52,0.606446938695035,0.293,0.12,1.53423618282631e-47,"2","LYZ"
"ATP6V0B",1.47936691735138e-51,0.339077682247904,0.568,0.336,2.44657700791571e-47,"2","ATP6V0B"
"COX5A",1.79663186448989e-51,0.423272387529701,0.61,0.385,2.97126977749338e-47,"2","COX5A"
"IGLC2",2.21057752617686e-51,2.70883127341757,0.83,0.686,3.65585311279128e-47,"2","IGLC2"
"LAP3",1.10701333382271e-50,0.277907011580716,0.333,0.146,1.830778651476e-46,"2","LAP3"
"NENF",1.52235617627761e-50,0.282863135467635,0.359,0.166,2.51767264432791e-46,"2","NENF"
"DPP7",2.71014848787899e-50,0.301495366106434,0.504,0.278,4.48204356925427e-46,"2","DPP7"
"TMEM147",4.1431440760807e-50,0.293762032187554,0.426,0.219,6.85193167302227e-46,"2","TMEM147"
"ATP5J",4.41930857669896e-50,0.423169221990124,0.646,0.432,7.30865252414475e-46,"2","ATP5J"
"CD27",1.7444874848761e-49,0.505769854665593,0.583,0.361,2.8850334024881e-45,"2","CD27"
"REEP5",2.08456921044134e-49,0.343234311798511,0.589,0.365,3.4474605602279e-45,"2","REEP5"
"OS9",2.76993696347209e-49,0.292348274902844,0.417,0.211,4.58092175019013e-45,"2","OS9"
"CALM3",5.63691965145248e-49,0.415433314232807,0.49,0.285,9.32233771957211e-45,"2","CALM3"
"COX7A2",1.32564446299163e-48,0.442754986110746,0.814,0.648,2.19235081289556e-44,"2","COX7A2"
"PLPP5",2.42535645475969e-48,0.299640266995183,0.425,0.217,4.01105450488157e-44,"2","PLPP5"
"TYMP",9.64710827642709e-48,0.446266949168275,0.571,0.355,1.59543876675551e-43,"2","TYMP"
"HINT2",1.07474902326663e-47,0.25497801472935,0.316,0.139,1.77741993467834e-43,"2","HINT2"
"PSME2",2.14776034302738e-47,0.463577951049887,0.702,0.493,3.55196605529868e-43,"2","PSME2"
"NDUFS6",7.79067273518969e-47,0.367881968065479,0.463,0.261,1.28842145694567e-42,"2","NDUFS6"
"LDHA",1.98163982507558e-46,0.555705444574036,0.609,0.409,3.27723594271e-42,"2","LDHA"
"AURKAIP1",1.06129095561248e-45,0.36268944058253,0.509,0.303,1.75516298239192e-41,"2","AURKAIP1"
"CDK2AP2",2.57844636751857e-45,0.318344363746937,0.4,0.209,4.26423460260221e-41,"2","CDK2AP2"
"DYNLL1",3.84067937273598e-45,0.395670447516718,0.594,0.386,6.35171554663076e-41,"2","DYNLL1"
"PSMB6",5.15137206402025e-45,0.351594253506358,0.483,0.279,8.5193391194767e-41,"2","PSMB6"
"TXNDC17",1.59112169073505e-44,0.292983098187395,0.31,0.141,2.63139705213762e-40,"2","TXNDC17"
"ISG20",2.12300600835465e-44,0.407754509592305,0.765,0.571,3.51102733661692e-40,"2","ISG20"
"CANX",4.82719465947642e-42,0.284699358603275,0.357,0.179,7.9832145278421e-38,"2","CANX"
"UFM1",8.865322130838e-42,0.270073323866778,0.391,0.205,1.46614697399799e-37,"2","UFM1"
"ATRAID",2.01876620992099e-41,0.264114661505483,0.461,0.261,3.33863555796734e-37,"2","ATRAID"
"NDUFA11",3.92990700087936e-41,0.343445415453361,0.615,0.417,6.49928019805428e-37,"2","NDUFA11"
"UBE2J1",5.64969857145793e-41,0.413790450031013,0.494,0.3,9.34347149747712e-37,"2","UBE2J1"
"ROMO1",8.57596013560407e-41,0.294684721053311,0.452,0.258,1.4182922872262e-36,"2","ROMO1"
"NDUFS5",9.94660742041092e-41,0.373358844225973,0.583,0.388,1.64496993518756e-36,"2","NDUFS5"
"ZNF706",9.96137678738936e-41,0.345663854580628,0.56,0.361,1.64741249309845e-36,"2","ZNF706"
"H2AFV",2.84394863880421e-40,0.410714158952533,0.439,0.258,4.70332225885440e-36,"2","H2AFV"
"IFI27L2",3.97312799924238e-40,0.298001250922078,0.425,0.24,6.57075908514705e-36,"2","IFI27L2"
"TOR3A",7.43726394443096e-40,0.276259845036485,0.341,0.171,1.22997471112999e-35,"2","TOR3A"
"NDUFV2",9.81259613931604e-40,0.340583730942413,0.492,0.298,1.62280714952009e-35,"2","NDUFV2"
"CORO1B",3.91296849930692e-39,0.292630244445025,0.312,0.151,6.47126730415378e-35,"2","CORO1B"
"MRPL51",1.83873820527881e-37,0.329256239776449,0.455,0.273,3.04090524389009e-33,"2","MRPL51"
"NPC2",3.80824349352927e-37,0.347438107801621,0.591,0.401,6.2980730895987e-33,"2","NPC2"
"NDUFB4",7.52915508932883e-37,0.329516101695827,0.578,0.391,1.2451716686732e-32,"2","NDUFB4"
"ISG151",4.13014020760713e-36,0.620628009935633,0.524,0.339,6.83042587534067e-32,"2","ISG15"
"SLC38A2",8.93064612979786e-36,0.277393872435256,0.343,0.18,1.47695025694597e-31,"2","SLC38A2"
"ANXA5",2.19098333042861e-34,0.269156392021841,0.366,0.202,3.62344823186283e-30,"2","ANXA5"
"TCEB2",2.63156275523985e-34,0.352941375010884,0.697,0.531,4.35207848461566e-30,"2","TCEB2"
"CXCL8",5.65750861531607e-34,0.496317428379984,0.336,0.182,9.35638774800972e-30,"2","CXCL8"
"MYL6",6.79633227180493e-34,0.453252428260717,0.906,0.867,1.1239774311111e-29,"2","MYL6"
"SRSF9",8.34536082751522e-34,0.342584126992838,0.46,0.291,1.38015577365447e-29,"2","SRSF9"
"NDUFB11",1.22789930265936e-33,0.311065700906655,0.657,0.478,2.03069986673805e-29,"2","NDUFB11"
"S100A8",2.23288164254252e-33,0.397140741257073,0.334,0.18,3.69273966043682e-29,"2","S100A8"
"SERF2",3.01874677455627e-33,0.388452957214117,0.95,0.929,4.99240341576116e-29,"2","SERF2"
"NDUFA3",9.42271910214969e-33,0.251088924191798,0.588,0.395,1.55832928511352e-28,"2","NDUFA3"
"PRDX5",1.81795269935718e-32,0.297842647781446,0.599,0.418,3.00653017419691e-28,"2","PRDX5"
"SELT",1.12932558097445e-31,0.260492179377651,0.579,0.397,1.86767864581555e-27,"2","SELT"
"MRPL20",3.05812634579986e-31,0.254563317164539,0.438,0.266,5.05752935068381e-27,"2","MRPL20"
"PPP2R5C",3.64175455952386e-31,0.277984057766853,0.393,0.236,6.02273369054056e-27,"2","PPP2R5C"
"NDUFB8",5.76535297124752e-31,0.286059939102132,0.553,0.384,9.53474074384915e-27,"2","NDUFB8"
"TIMM8B",3.06791194241572e-30,0.256583973514611,0.294,0.155,5.07371277036712e-26,"2","TIMM8B"
"PSMD8",3.46657057779195e-30,0.300738438583642,0.477,0.313,5.73301442155233e-26,"2","PSMD8"
"GRN",5.07332997707434e-30,0.252347291075366,0.44,0.272,8.39027311608555e-26,"2","GRN"
"PGAM1",1.0947091921223e-29,0.415137474329368,0.47,0.316,1.81043006193186e-25,"2","PGAM1"
"MYEOV2",1.32421066713121e-29,0.258197390981988,0.484,0.313,2.1899796013016e-25,"2","MYEOV2"
"S100A9",1.7668141440585e-29,0.41371135082195,0.317,0.175,2.92195723144395e-25,"2","S100A9"
"ATPIF1",2.61773702133351e-29,0.292668191430086,0.608,0.441,4.32921348588136e-25,"2","ATPIF1"
"TRBC2",6.03448429719481e-29,0.644749563379952,0.541,0.418,9.97983013070078e-25,"2","TRBC2"
"FOS",3.68727745334592e-28,0.603335441890426,0.755,0.69,6.09801945234348e-24,"2","FOS"
"NDUFAB1",4.38052661892269e-28,0.253901786368693,0.373,0.222,7.24451492237434e-24,"2","NDUFAB1"
"STMN1",6.39749615819961e-28,0.475991271292703,0.262,0.138,1.05801791464305e-23,"2","STMN1"
"YWHAE",2.50569584012679e-27,0.291550863309913,0.361,0.217,4.14391978040168e-23,"2","YWHAE"
"NDUFA1",5.7531941057909e-27,0.285005026309082,0.675,0.523,9.51463241215699e-23,"2","NDUFA1"
"S100A10",5.94540008562026e-27,0.295142946331318,0.494,0.331,9.83250266159879e-23,"2","S100A10"
"IER2",2.26769751777232e-26,0.542935992839546,0.636,0.52,3.75031815489187e-22,"2","IER2"
"COX8A",2.71302818122888e-26,0.346479047716239,0.611,0.46,4.48680600611633e-22,"2","COX8A"
"VOPP1",3.61991112003456e-26,0.265234051896736,0.424,0.269,5.98660901031315e-22,"2","VOPP1"
"NAA38",4.15486598125384e-26,0.274579559198559,0.401,0.254,6.87131735979761e-22,"2","NAA38"
"UBL5",5.90227329567684e-26,0.289061639451121,0.749,0.602,9.76117957639036e-22,"2","UBL5"
"VIM",6.24406671765652e-26,0.544838090686343,0.761,0.621,1.03264375376603e-21,"2","VIM"
"CALR",9.91254368084897e-26,0.416514336566706,0.621,0.466,1.6393364739388e-21,"2","CALR"
"SQSTM1",3.59008418372649e-25,0.274299099161063,0.432,0.284,5.93728122304686e-21,"2","SQSTM1"
"ATP5G3",3.84992215653984e-25,0.384034767714709,0.584,0.441,6.36700126248559e-21,"2","ATP5G3"
"RPL36AL",4.25648280114718e-25,0.3152672900132,0.899,0.829,7.03937125653721e-21,"2","RPL36AL"
"PDIA3",9.71775698573728e-24,0.270732559218613,0.556,0.405,1.60712265030123e-19,"2","PDIA3"
"CYC1",1.10241634681472e-23,0.259225791204863,0.346,0.213,1.82317615436219e-19,"2","CYC1"
"MIF",1.45414164734684e-23,0.398009148091724,0.749,0.623,2.40485945638221e-19,"2","MIF"
"FABP5",3.86390551459212e-23,0.300171401229983,0.256,0.14,6.39012694003245e-19,"2","FABP5"
